time (source2)	Light
1594.594	55
1595.574	55
1596.566	55
1597.591	55
1598.596	55
1599.617	55
1600.598	55
1601.614	55
1602.658	55
1603.64	55
1604.674	55
1605.664	55
1606.686	55
1607.687	55
1608.686	55
1609.699	55
1611.751	55
1612.767	55
1613.733	55
1614.757	55
1615.756	55
1616.772	55
1617.788	55
1618.8	55
1619.809	55
1620.805	56
1621.868	55
1622.83	56
1624.83	56
1626.961	56
1627.933	56
1628.976	56
1629.963	56
1630.99	56
1631.984	56
1633.018	56
1634.012	56
1635.033	56
1636.023	56
1637.034	56
1638.07	56
1639.079	56
1640.055	56
1641.104	56
1642.09	56
1643.089	56
1645.14	56
1646.14	56
1647.16	56
1648.168	56
1649.165	56
1650.191	56
1651.185	56
1652.197	56
1653.216	56
1654.247	56
1655.205	57
1656.248	56
1657.258	56
1658.254	56
1659.284	57
1661.319	57
1662.279	57
1663.31	57
1664.311	57
1665.267	57
1666.29	57
1667.333	57
1668.375	57
1669.411	57
1670.373	57
1671.427	57
1673.408	57
1674.434	57
1676.427	57
1677.446	57
1678.502	57
1679.469	57
1680.529	57
1681.533	57
1682.498	57
1683.521	57
1684.551	57
1685.529	57
1686.548	57
1687.586	58
1688.564	58
1689.597	58
1690.608	58
1691.606	58
1692.613	58
1693.626	58
1694.645	58
1695.632	58
1696.684	58
1697.671	58
1698.706	58
1699.685	58
1700.719	58
1701.717	58
1702.726	58
1703.735	58
1704.764	58
1705.739	58
1706.691	58
1707.768	58
1708.772	58
1709.773	58
1711.821	58
1714.86	59
1715.862	58
1716.892	59
1717.889	59
1718.867	59
1719.917	59
1720.886	59
1721.941	59
1722.934	59
1723.938	59
1724.979	59
1725.979	59
1726.978	59
1728.008	59
1730.014	59
1730.997	59
1732.001	60
1733.049	59
1738.134	60
1739.074	60
1740.109	60
1741.105	60
1743.136	60
1745.155	60
1746.2	60
1747.129	60
1748.139	60
1750.207	61
1751.208	61
1752.233	61
1753.227	61
1754.236	61
1760.36	61
1761.341	61
1762.318	61
1763.369	61
1765.352	62
1766.38	62
1767.377	61
1768.381	62
1769.432	62
1770.407	62
1771.42	62
1772.418	62
1773.483	62
1774.468	62
1775.463	62
1776.494	62
1777.476	62
1778.506	62
1779.494	63
1780.506	63
1783.574	63
1784.566	63
1785.605	63
1786.586	63
1787.618	63
1788.519	63
1789.626	63
1791.62	63
1792.663	63
1793.661	63
1794.705	63
1795.671	63
1796.705	63
1798.694	63
1799.703	63
1800.716	63
1801.767	63
1802.755	63
1803.745	64
1804.763	64
1805.803	64
1806.783	64
1807.835	64
1808.795	64
1809.822	64
1810.816	64
1811.864	64
1813.849	64
1814.888	65
1815.886	65
1816.91	65
1817.928	65
1818.912	65
1819.918	65
1820.923	65
1821.972	65
1822.997	66
1823.954	66
1825.017	66
1825.998	66
1827.003	66
1827.996	66
1828.978	66
1829.966	66
1831.063	67
1832.051	67
1833.066	67
1834.054	67
1835.117	67
1836.12	67
1837.085	67
1838.127	68
1839.136	68
1840.136	68
1841.135	68
1842.189	68
1843.168	68
1844.197	69
1845.198	69
1846.202	69
1847.228	69
1848.207	69
1849.208	70
1850.275	69
1851.261	70
1852.247	70
1853.295	70
1854.285	71
1855.286	71
1857.331	71
1859.338	72
1860.358	72
1861.375	72
1862.376	73
1863.409	73
1864.411	73
1865.414	74
1866.392	74
1867.445	74
1868.425	74
1869.474	75
1870.395	75
1871.416	75
1872.487	76
1873.473	76
1874.475	76
1875.512	77
1876.52	77
1877.52	78
1878.572	78
1879.551	79
1880.554	79
1881.557	80
1882.599	81
1883.593	81
1884.627	82
1885.612	82
1886.64	83
1887.618	83
1888.627	83
1889.631	84
1890.651	84
1891.664	85
1892.693	85
1893.727	86
1894.685	86
1895.725	86
1896.718	87
1897.712	87
1898.784	87
1899.791	88
1900.774	88
1901.788	89
1902.823	89
1903.849	89
1904.817	90
1905.812	90
1906.804	90
1907.834	91
1908.86	91
1909.858	91
1910.835	92
1911.839	92
1912.879	92
1913.887	93
1914.914	93
1915.92	93
1916.919	94
1917.931	94
1918.983	94
1919.97	95
1920.999	95
1921.965	95
1923.016	95
1924.012	95
1925.016	95
1926.057	96
1928.036	96
1929.064	96
1930.079	97
1932.11	97
1933.106	97
1934.091	97
1935.135	98
1936.136	98
1937.142	98
1938.156	98
1939.186	99
1940.163	99
1941.216	99
1942.195	99
1943.183	99
1944.248	99
1945.252	100
1947.253	100
1948.278	100
1949.261	100
1950.287	100
1951.287	101
1952.219	101
1953.267	101
1954.327	101
1955.342	101
1957.36	101
1958.341	101
1959.356	101
1960.407	101
1962.377	102
1963.406	101
1964.434	102
1966.445	102
1967.486	102
1968.481	102
1969.49	102
1970.466	102
1971.476	102
1972.534	102
1973.495	102
1974.54	102
1975.538	102
1976.546	102
1977.567	102
1979.591	102
1981.603	102
1982.593	102
1983.637	102
1984.646	102
1985.631	102
1986.655	102
1987.681	102
1988.667	102
1989.699	102
1990.702	102
1991.713	102
1992.654	102
1993.674	102
1994.712	102
1996.767	102
1997.747	102
1998.805	102
1999.794	102
2000.8	102
2001.818	102
2002.821	102
2003.81	102
2004.835	101
2005.863	102
2006.855	102
2007.886	102
2008.885	102
2009.914	102
2010.93	102
2011.911	102
2012.957	102
2013.915	102
2014.941	102
2015.943	102
2016.945	101
2018.005	102
2019.017	102
2019.991	102
2021.039	102
2022.018	102
2023.027	102
2024.018	102
2025.043	102
2026.037	102
2027.079	102
2028.109	102
2029.085	102
2030.086	102
2031.148	102
2032.127	102
2033.149	102
2034.064	102
2035.072	102
2036.147	103
2037.155	103
2038.203	103
2039.213	103
2040.22	103
2042.208	103
2043.25	103
2044.275	103
2045.258	103
2046.283	103
2047.271	103
2048.272	103
2050.305	104
2051.302	104
2052.344	104
2053.332	104
2054.373	104
2055.361	104
2056.408	104
2057.379	104
2058.396	104
2059.424	104
2060.447	104
2061.414	104
2062.463	104
2063.434	104
2065.467	105
2066.48	105
2067.488	105
2068.504	105
2069.5	105
2070.528	105
2071.551	105
2072.573	105
2073.585	105
2074.53	105
2075.492	105
2076.571	105
2077.596	105
2078.615	105
2079.613	105
2080.636	105
2081.622	105
2082.628	105
2083.661	105
2084.65	105
2085.663	105
2086.721	105
2087.71	105
2088.738	106
2089.756	106
2090.755	106
2091.757	106
2092.776	106
2093.784	106
2094.775	105
